# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Si Z=14  Koga1999  E=-288.854362454 Ha  T_KS=288.85433432 Ha
1.250116543601689305e-06 1.765554997660733079e+03 -4.943740728628545912e+04 2.444057239190070629e+09 -7.909108204431398010e+10 1.783153735733748472e+05 7.405209319395392668e+05 1.402019475886347177e-01 -8.010349063040205692e+03 1.730374614801236021e+05
1.255600536975997663e-06 1.765554726546340589e+03 -4.943739963372434431e+04 2.444056482544568062e+09 -7.874562350512327576e+10 1.783153463040027709e+05 7.405207424185174750e+05 1.402019615949625375e-01 -7.975363044653806355e+03 1.730374344813900825e+05
1.261108587454008393e-06 1.765554454242668498e+03 -4.943739194759426755e+04 2.444055722580058575e+09 -7.840167379958544922e+10 1.783153189150101098e+05 7.405205520661559422e+05 1.402019756627345681e-01 -7.940529832105990863e+03 1.730374073642231524e+05
1.266640800569079994e-06 1.765554180744501309e+03 -4.943738422774794890e+04 2.444054959281981468e+09 -7.805922633767958069e+10 1.783152914058718598e+05 7.405203608788088895e+05 1.402019897922200664e-01 -7.905848757998008296e+03 1.730373801281029591e+05
1.272197282317523175e-06 1.765553906046599877e+03 -4.943737647403759911e+04 2.444054192635726452e+09 -7.771827455816770935e+10 1.783152637760615326e+05 7.405201688528142404e+05 1.402020039836901488e-01 -7.871319157846090093e+03 1.730373527725084859e+05
1.277778139160631404e-06 1.765553630143700957e+03 -4.943736868631455582e+04 2.444053422626595020e+09 -7.737881192846859741e+10 1.783152360250492056e+05 7.405199759844931541e+05 1.402020182374162371e-01 -7.836940370068654374e+03 1.730373252969147870e+05
1.283383478026721836e-06 1.765553353030519247e+03 -4.943736086442969827e+04 2.444052649239845276e+09 -7.704083194453309631e+10 1.783152081523037050e+05 7.405197822701509576e+05 1.402020325536718903e-01 -7.802711735973681243e+03 1.730372977007960726e+05
1.289013406313182379e-06 1.765553074701744663e+03 -4.943735300823314901e+04 2.444051872460659027e+09 -7.670432813071923828e+10 1.783151801572908298e+05 7.405195877060762141e+05 1.402020469327313057e-01 -7.768632599746069900e+03 1.730372699836234970e+05
1.294668031888530828e-06 1.765552795152045746e+03 -4.943734511757439031e+04 2.444051092274156570e+09 -7.636929403966821289e+10 1.783151520394742547e+05 7.405193922885422362e+05 1.402020613748700961e-01 -7.734702308435061241e+03 1.730372421448660316e+05
1.300347463094480572e-06 1.765552514376067620e+03 -4.943733719230230054e+04 2.444050308665396214e+09 -7.603572325218099976e+10 1.783151237983153551e+05 7.405191960138058057e+05 1.402020758803648459e-01 -7.700920211941753223e+03 1.730372141839904652e+05
1.306051808748017515e-06 1.765552232368431532e+03 -4.943732923226500861e+04 2.444049521619364262e+09 -7.570360937709500122e+10 1.783150954332731490e+05 7.405189988781074062e+05 1.402020904494933051e-01 -7.667285663006616232e+03 1.730371861004609382e+05
1.311781178143483777e-06 1.765551949123733721e+03 -4.943732123731002503e+04 2.444048731120985031e+09 -7.537294605116203308e+10 1.783150669438039768e+05 7.405188008776698261e+05 1.402021050825349169e-01 -7.633798017197131230e+03 1.730371578937395534e+05
1.317535681054672622e-06 1.765551664636547230e+03 -4.943731320728418359e+04 2.444047937155115128e+09 -7.504372693892608643e+10 1.783150383293624036e+05 7.405186020086994395e+05 1.402021197797701513e-01 -7.600456632895411531e+03 1.730371295632859401e+05
1.323315427736931636e-06 1.765551378901424187e+03 -4.943730514203365601e+04 2.444047139706547260e+09 -7.471594573260208130e+10 1.783150095893999387e+05 7.405184022673885338e+05 1.402021345414802556e-01 -7.567260871285893700e+03 1.730371011085572536e+05
1.329120528929274171e-06 1.765551091912888069e+03 -4.943729704140390095e+04 2.444046338760003090e+09 -7.438959615195500183e+10 1.783149807233661122e+05 7.405182016499087913e+05 1.402021493679484754e-01 -7.534210096343163059e+03 1.730370725290084083e+05
1.334951095856502856e-06 1.765550803665442572e+03 -4.943728890523978043e+04 2.444045534300144196e+09 -7.406467194417958069e+10 1.783149517307079514e+05 7.405180001524185063e+05 1.402021642594587780e-01 -7.501303674819694606e+03 1.730370438240919902e+05
1.340807240231339038e-06 1.765550514153565473e+03 -4.943728073338539980e+04 2.444044726311559200e+09 -7.374116688378038025e+10 1.783149226108700095e+05 7.405177977710576961e+05 1.402021792162962688e-01 -7.468540976233758556e+03 1.730370149932580243e+05
1.346689074256564506e-06 1.765550223371709535e+03 -4.943727252568418771e+04 2.444043914778768539e+09 -7.341907477245260620e+10 1.783148933632944536e+05 7.405175945019489154e+05 1.402021942387478015e-01 -7.435921372857338611e+03 1.730369860359540617e+05
1.352596710627169563e-06 1.765549931314304786e+03 -4.943726428197892528e+04 2.444043099686229229e+09 -7.309838943896343994e+10 1.783148639874207147e+05 7.405173903411987703e+05 1.402022093271010905e-01 -7.403444239704096617e+03 1.730369569516254705e+05
1.358530262532514447e-06 1.765549637975756013e+03 -4.943725600211170240e+04 2.444042281018329620e+09 -7.277910473903363037e+10 1.783148344826864777e+05 7.405171852848960552e+05 1.402022244816453489e-01 -7.371108954517406346e+03 1.730369277397151745e+05
1.364489843658495825e-06 1.765549343350443223e+03 -4.943724768592385954e+04 2.444041458759384155e+09 -7.246121455521981812e+10 1.783148048485260515e+05 7.405169793291128008e+05 1.402022397026709555e-01 -7.338914897758416373e+03 1.730368983996633615e+05
1.370475568189726636e-06 1.765549047432720954e+03 -4.943723933325606049e+04 2.444040632893640041e+09 -7.214471279679731750e+10 1.783147750843720278e+05 7.405167724699026439e+05 1.402022549904695381e-01 -7.306861452594195725e+03 1.730368689309078909e+05
1.376487550811723551e-06 1.765548750216922826e+03 -4.943723094394837244e+04 2.444039803405286312e+09 -7.182959339964363098e+10 1.783147451896540588e+05 7.405165647033049027e+05 1.402022703453340569e-01 -7.274948004885904993e+03 1.730368393328845559e+05
1.382525906713102908e-06 1.765548451697352448e+03 -4.943722251783996035e+04 2.444038970278422356e+09 -7.151585032612181091e+10 1.783147151637993811e+05 7.405163560253379401e+05 1.402022857675585266e-01 -7.243173943177033834e+03 1.730368096050257736e+05
1.388590751587790195e-06 1.765548151868293189e+03 -4.943721405476950167e+04 2.444038133497098923e+09 -7.120347756496530151e+10 1.783146850062329031e+05 7.405161464320058003e+05 1.402023012574385719e-01 -7.211538658681685774e+03 1.730367797467624478e+05
1.394682201637234410e-06 1.765547850723999090e+03 -4.943720555457481532e+04 2.444037293045282841e+09 -7.089246913116233826e+10 1.783146547163768264e+05 7.405159359192921547e+05 1.402023168152710941e-01 -7.180041545272917574e+03 1.730367497575225134e+05
1.400800373572635327e-06 1.765547548258701227e+03 -4.943719701709305809e+04 2.444036448906874657e+09 -7.058281906584153748e+10 1.783146242936507624e+05 7.405157244831646094e+05 1.402023324413542160e-01 -7.148681999471121344e+03 1.730367196367313736e+05
1.406945384617180518e-06 1.765547244466606571e+03 -4.943718844216071011e+04 2.444035601065708637e+09 -7.027452143615760803e+10 1.783145937374720525e+05 7.405155121195738902e+05 1.402023481359871981e-01 -7.117459420432449406e+03 1.730366893838121032e+05
1.413117352508289986e-06 1.765546939341893221e+03 -4.943717982961342932e+04 2.444034749505537033e+09 -6.996757033517765808e+10 1.783145630472551857e+05 7.405152988244504668e+05 1.402023638994708554e-01 -7.086373209937331922e+03 1.730366589981848374e+05
1.419316395499872873e-06 1.765546632878717446e+03 -4.943717117928626976e+04 2.444033894210052967e+09 -6.966195988176817322e+10 1.783145322224122647e+05 7.405150845937099075e+05 1.402023797321070575e-01 -7.055422772378987247e+03 1.730366284792676743e+05
