# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Xe Z=54  Koga1999  E=-7232.138355835 Ha  T_KS=4821.42602443 Ha
1.340807240231339038e-06 1.112078261041209189e+05 -1.201301683624735847e+07 1.443125735079625000e+14 -1.791777969149400000e+13 1.749942857781737149e+08 7.384042258947283030e+08 1.318062214682328981e-01 -1.819915744975212874e+03 1.622104515522658527e+08
1.346689074256564506e-06 1.112077554455722566e+05 -1.201300918160146661e+07 1.443123895972411250e+14 -1.783950448224555078e+13 1.749941794113813639e+08 7.384034439569561481e+08 1.318062768187592826e-01 -1.811967220789954126e+03 1.622103478968594372e+08
1.352596710627169563e-06 1.112076844771050237e+05 -1.201300149338113517e+07 1.443122048799773750e+14 -1.776157114983952734e+13 1.749940725780467689e+08 7.384026585898256302e+08 1.318063324121182545e-01 -1.804053412784285456e+03 1.622102437868038714e+08
1.358530262532514447e-06 1.112076131973600277e+05 -1.201299377143914439e+07 1.443120193526356875e+14 -1.768397820108587891e+13 1.749939652761240900e+08 7.384018697782998085e+08 1.318063882493758776e-01 -1.796174169330926816e+03 1.622101392201059461e+08
1.364489843658495825e-06 1.112075416049721680e+05 -1.201298601562758908e+07 1.443118330116640312e+14 -1.760672414931620312e+13 1.749938575035580397e+08 7.384010775072764158e+08 1.318064443316017686e-01 -1.788329339464841951e+03 1.622100341947624683e+08
1.370475568189726636e-06 1.112074696985704359e+05 -1.201297822579795308e+07 1.443116458534957500e+14 -1.752980751435536719e+13 1.749937492582848668e+08 7.384002817615876198e+08 1.318065006598709565e-01 -1.780518772880358028e+03 1.622099287087624371e+08
1.376487550811723551e-06 1.112073974767775653e+05 -1.201297040180102736e+07 1.443114578745475312e+14 -1.745322682249300977e+13 1.749936405382312536e+08 7.383994825259965658e+08 1.318065572352628834e-01 -1.772742319928278675e+03 1.622098227600852549e+08
1.382525906713102908e-06 1.112073249382105569e+05 -1.201296254348699003e+07 1.443112690712214062e+14 -1.737698060645546680e+13 1.749935313413151503e+08 7.383986797852030993e+08 1.318066140588618762e-01 -1.764999831613020206e+03 1.622097163467021883e+08
1.388590751587790195e-06 1.112072520814802119e+05 -1.201295465070533939e+07 1.443110794399030312e+14 -1.730106740537752734e+13 1.749934216654452980e+08 7.383978735238382816e+08 1.318066711317568973e-01 -1.757291159589754670e+03 1.622096094665751159e+08
1.394682201637234410e-06 1.112071789051911619e+05 -1.201294672330491804e+07 1.443108889769623750e+14 -1.722548576477450977e+13 1.749933115085212588e+08 7.383970637264649868e+08 1.318067284550419882e-01 -1.749616156161570871e+03 1.622095021176572740e+08
