# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# H Z=1  Koga1999  E=-0.50000000 Ha  T_KS=0.5000000000 Ha
# Note: tau_KS = tau_vW exactly (single orbital) -> alpha_bar = 0 everywhere
1.910866162200737979e-06 3.183086696909340207e-01 -6.366173393818680415e-01 4.052816368016485815e-01 -6.663115769009665819e+05 1.591543348454670104e-01 4.260717114891327539e-01 2.241233067868571016e-01 -1.172886322185393365e+05 1.591543348454670104e-01
1.927003977763388719e-06 3.183086594173210049e-01 -6.366173188346420098e-01 4.052816106402082341e-01 -6.607314768591562752e+05 1.591543297086605024e-01 4.260716885695777778e-01 2.241233116093379885e-01 -1.163063918440673006e+05 1.591543297086605024e-01
1.943278081830324476e-06 3.183086490569446703e-01 -6.366172981138893405e-01 4.052815842578286754e-01 -6.551981077148102922e+05 1.591543245284723351e-01 4.260716654564616901e-01 2.241233164725461857e-01 -1.153323773031608580e+05 1.591543245284723351e-01
1.959689625397249568e-06 3.183086386090723252e-01 -6.366172772181446504e-01 4.052815576526440089e-01 -6.497110781170997070e+05 1.591543193045361626e-01 4.260716421481500760e-01 2.241233213768256405e-01 -1.143665197080613871e+05 1.591543193045361626e-01
1.976239769180359125e-06 3.183086280729650608e-01 -6.366172561459301216e-01 4.052815308227727953e-01 -6.442699999925877200e+05 1.591543140364825304e-01 4.260716186429943098e-01 2.241233263225232697e-01 -1.134087507479151100e+05 1.591543140364825304e-01
1.992929683698432247e-06 3.183086174478775843e-01 -6.366172348957551685e-01 4.052815037663171083e-01 -6.388744885177820688e+05 1.591543087239387921e-01 4.260715949393318325e-01 2.241233313099888769e-01 -1.124590026839417405e+05 1.591543087239387921e-01
2.009760549355615505e-06 3.183086067330586078e-01 -6.366172134661172155e-01 4.052814764813638670e-01 -6.335241620919199195e+05 1.591543033665293039e-01 4.260715710354865959e-01 2.241233363395752076e-01 -1.115172083446436445e+05 1.591543033665293039e-01
2.026733556524909043e-06 3.183085959277502375e-01 -6.366171918555004750e-01 4.052814489659831154e-01 -6.282186423099774402e+05 1.591542979638751187e-01 4.260715469297677860e-01 2.241233414116379774e-01 -1.105833011210551922e+05 1.591542979638751187e-01
2.043849905632355730e-06 3.183085850311883624e-01 -6.366171700623767249e-01 4.052814212182290765e-01 -6.229575539359074319e+05 1.591542925155941812e-01 4.260715226204707662e-01 2.241233465265357883e-01 -1.096572149620315759e+05 1.591542925155941812e-01
2.061110807241943077e-06 3.183085740426022103e-01 -6.366171480852044207e-01 4.052813932361390981e-01 -6.177405248761003604e+05 1.591542870213011052e-01 4.260714981058760786e-01 2.241233516846304896e-01 -1.087388843695775286e+05 1.591542870213011052e-01
2.078517482141220064e-06 3.183085629612146250e-01 -6.366171259224292500e-01 4.052813650177341520e-01 -6.125671861530680908e+05 1.591542814806073125e-01 4.260714733842497770e-01 2.241233568862870118e-01 -1.078282443942148820e+05 1.591542814806073125e-01
2.096071161427638590e-06 3.183085517862420666e-01 -6.366171035724841332e-01 4.052813365610190011e-01 -6.074371718793478794e+05 1.591542758931210333e-01 4.260714484538440927e-01 2.241233621318730607e-01 -1.069252306303887890e+05 1.591542758931210333e-01
2.113773086595622536e-06 3.183085405168938897e-01 -6.366170810337877795e-01 4.052813078639803113e-01 -6.023501192316239467e+05 1.591542702584469449e-01 4.260714233128950479e-01 2.241233674217598670e-01 -1.060297792119130318e+05 1.591542702584469449e-01
